,State,Year,Type,Value
510,CA,2020,Accidents,285532.0
511,TX,2020,Accidents,73488.0
512,FL,2020,Accidents,130362.0
513,GA,2020,Accidents,23427.0
514,NC,2020,Accidents,48633.0
515,OH,2020,Accidents,17240.0
516,TN,2020,Accidents,28463.0
517,IL,2020,Accidents,25007.0
518,PA,2020,Accidents,43189.0
519,MI,2020,Accidents,15763.0
520,AZ,2020,Accidents,29535.0
521,SC,2020,Accidents,62789.0
522,NY,2020,Accidents,48805.0
523,MO,2020,Accidents,10372.0
524,AL,2020,Accidents,20185.0
525,IN,2020,Accidents,7806.0
526,VA,2020,Accidents,44803.0
527,LA,2020,Accidents,26342.0
528,KY,2020,Accidents,5568.0
529,MS,2020,Accidents,2019.0
530,OK,2020,Accidents,13590.0
531,AR,2020,Accidents,3090.0
532,CO,2020,Accidents,13889.0
533,WI,2020,Accidents,3933.0
534,NJ,2020,Accidents,18590.0
535,MD,2020,Accidents,24351.0
536,WA,2020,Accidents,13211.0
537,OR,2020,Accidents,34452.0
538,KS,2020,Accidents,2644.0
539,MN,2020,Accidents,39193.0
540,NM,2020,Accidents,1436.0
541,MA,2020,Accidents,11101.0
542,IA,2020,Accidents,3649.0
543,NV,2020,Accidents,2442.0
544,CT,2020,Accidents,9341.0
545,UT,2020,Accidents,16192.0
546,WV,2020,Accidents,1171.0
547,NE,2020,Accidents,2493.0
548,MT,2020,Accidents,2450.0
549,ID,2020,Accidents,2319.0
550,ME,2020,Accidents,281.0
551,SD,2020,Accidents,160.0
552,WY,2020,Accidents,29.0
553,DE,2020,Accidents,2478.0
554,NH,2020,Accidents,1496.0
555,ND,2020,Accidents,399.0
556,HI,2020,Accidents,
557,RI,2020,Accidents,2387.0
558,VT,2020,Accidents,186.0
559,AK,2020,Accidents,
560,DC,2020,Accidents,2632.0
561,TX,2021,Accidents,101830.0
562,CA,2021,Accidents,341876.0
563,FL,2021,Accidents,240608.0
564,GA,2021,Accidents,20551.0
565,NC,2021,Accidents,65750.0
566,OH,2021,Accidents,14230.0
567,TN,2021,Accidents,39231.0
568,IL,2021,Accidents,28454.0
569,PA,2021,Accidents,71520.0
570,SC,2021,Accidents,79651.0
571,NY,2021,Accidents,55470.0
572,MI,2021,Accidents,23678.0
573,AZ,2021,Accidents,33075.0
574,MO,2021,Accidents,15662.0
575,VA,2021,Accidents,67768.0
576,LA,2021,Accidents,33999.0
577,AL,2021,Accidents,23510.0
578,IN,2021,Accidents,13376.0
579,KY,2021,Accidents,4765.0
580,MS,2021,Accidents,3441.0
581,OK,2021,Accidents,9194.0
582,NJ,2021,Accidents,25093.0
583,CO,2021,Accidents,11576.0
584,AR,2021,Accidents,7384.0
585,WA,2021,Accidents,16093.0
586,WI,2021,Accidents,3030.0
587,OR,2021,Accidents,38231.0
588,MD,2021,Accidents,32153.0
589,MN,2021,Accidents,42753.0
590,NM,2021,Accidents,2344.0
591,MA,2021,Accidents,11464.0
592,KS,2021,Accidents,3970.0
593,NV,2021,Accidents,4253.0
594,IA,2021,Accidents,6951.0
595,UT,2021,Accidents,19621.0
596,CT,2021,Accidents,16172.0
597,WV,2021,Accidents,3802.0
598,ID,2021,Accidents,4763.0
599,MT,2021,Accidents,9316.0
600,NE,2021,Accidents,2301.0
601,ME,2021,Accidents,243.0
602,DE,2021,Accidents,3941.0
603,SD,2021,Accidents,32.0
604,NH,2021,Accidents,1128.0
605,WY,2021,Accidents,744.0
606,HI,2021,Accidents,
607,ND,2021,Accidents,1529.0
608,VT,2021,Accidents,117.0
609,RI,2021,Accidents,2425.0
610,AK,2021,Accidents,
611,DC,2021,Accidents,4685.0
612,CA,2016,Rel_accident,186.53658189274628
613,TX,2016,Rel_accident,324.7479756474914
614,FL,2016,Rel_accident,395.9838100377766
615,GA,2016,Rel_accident,526.5227564344478
616,NC,2016,Rel_accident,1182.20953310558
617,OH,2016,Rel_accident,703.8170505692349
618,PA,2016,Rel_accident,423.73846081386586
619,IL,2016,Rel_accident,498.5446454710463
620,TN,2016,Rel_accident,3079.3270142180095
621,MI,2016,Rel_accident,424.85431179437904
622,NY,2016,Rel_accident,594.4950987709608
623,SC,2016,Rel_accident,1242.6802653399668
624,AZ,2016,Rel_accident,1834.7671480144404
625,MO,2016,Rel_accident,1130.8086748270357
626,AL,2016,Rel_accident,29208.014814814815
627,IN,2016,Rel_accident,2805.4584103512016
628,VA,2016,Rel_accident,910.5264130602187
629,KY,2016,Rel_accident,2838.433520599251
630,LA,2016,Rel_accident,3998.934040047114
631,OK,2016,Rel_accident,4382.768421052631
632,MS,2016,Rel_accident,5022.044776119403
633,CO,2016,Rel_accident,3071.4350453172206
634,NJ,2016,Rel_accident,784.4129259398969
635,WI,2016,Rel_accident,2693.1946222791294
636,WA,2016,Rel_accident,605.0150295222759
637,MD,2016,Rel_accident,565.4832935560859
638,AR,2016,Rel_accident,91965.5
639,KS,2016,Rel_accident,2664.0748031496064
640,OR,2016,Rel_accident,2783.3781676413255
641,MN,2016,Rel_accident,1315.8979353330735
642,NM,2016,Rel_accident,9946.307189542484
643,MA,2016,Rel_accident,969.358076923077
644,IA,2016,Rel_accident,1120.0199501246882
645,NV,2016,Rel_accident,1379.7907148120855
646,WV,2016,Rel_accident,2702.4428904428905
647,CT,2016,Rel_accident,620.1916864608075
648,UT,2016,Rel_accident,2025.1714876033059
649,ID,2016,Rel_accident,2770.6968973747016
650,NE,2016,Rel_accident,241.69316812940974
651,MT,2016,Rel_accident,12857.177419354839
